user_id,signup_date,country,state,device,age,gender,acquisition_channel,is_registered,total_sessions,avg_session_duration,total_pages_viewed,last_active_date,total_revenue,total_purchases,avg_order_value,first_purchase_date,last_purchase_date,days_since_signup,days_since_last_active,avg_revenue_per_purchase,revenue_per_session,has_purchased,engagement_score_raw,engagement_score,churn_eligible,churn,rfm_recency,rfm_frequency,rfm_monetary,R,F,M,RFM_Total,RFM_Segment,cluster,cluster_label,churn_proba,risk_tier
1,2023-04-13,India,Uttar Pradesh,Mobile,45,Male,Facebook Ads,1,5,13.4,31,2023-06-28,0.0,0,0.0,,,77,1.0,0.0,0.0,0,6.52,0.3248188405797101,1,0,-1.0,0.0,0.0,0,0,0,0.0,Non-Buyer,,Non-Buyer,0.058487765347723125,Low Risk
2,2023-06-29,India,Karnataka,Mobile,47,Male,Referral,1,6,37.0,60,2023-06-29,0.0,0,0.0,,,0,0.0,0.0,0.0,0,14.1,0.702445652173913,0,0,-1.0,0.0,0.0,0,0,0,0.0,Non-Buyer,,Non-Buyer,,Not Observable
3,2023-04-03,India,Gujarat,Mobile,58,Male,Organic,1,3,29.333333333333332,28,2023-06-21,4154.0,3,1384.6666666666667,2023-05-05,2023-06-18,87,8.0,1384.6666666666667,1384.6666666666667,1,10.899999999999999,0.5430253623188405,1,0,12.0,3.0,4154.0,3,2,2,7.0,Needs Attention,1.0,Casual Buyers,0.2512587939630788,Low Risk
4,2023-01-15,India,Maharashtra,Mobile,46,Female,Facebook Ads,1,6,25.166666666666668,52,2023-06-23,0.0,0,0.0,,,165,6.0,0.0,0.0,0,10.55,0.525588768115942,1,0,-1.0,0.0,0.0,0,0,0,0.0,Non-Buyer,,Non-Buyer,0.2533003097645126,Low Risk
5,2023-04-17,India,Maharashtra,Mobile,51,Female,Google Ads,1,4,48.5,18,2023-06-25,5142.0,2,2571.0,2023-04-19,2023-05-04,73,4.0,2571.0,1285.5,1,16.949999999999996,0.8444293478260867,1,0,57.0,2.0,5142.0,1,1,2,4.0,Lost,2.0,Dormant / At-Risk,0.0980053735485347,Low Risk
6,2023-03-13,India,Telangana,Mobile,39,Female,Referral,1,4,21.25,29,2023-06-14,0.0,0,0.0,,,108,15.0,0.0,0.0,0,8.375,0.41723278985507245,1,0,-1.0,0.0,0.0,0,0,0,0.0,Non-Buyer,,Non-Buyer,0.297275291154288,Low Risk
7,2023-01-21,India,Karnataka,Desktop,42,Male,Organic,1,4,17.25,26,2023-05-02,1670.0,2,835.0,2023-05-28,2023-05-29,159,58.0,835.0,417.5,1,7.575,0.3773777173913043,1,1,32.0,2.0,1670.0,2,1,1,4.0,Lost,1.0,Casual Buyers,0.3955203578807082,Medium Risk
8,2023-04-13,India,Uttar Pradesh,Desktop,31,Female,Facebook Ads,1,7,29.285714285714285,62,2023-06-28,14742.0,5,2948.4,2023-04-19,2023-06-29,77,1.0,2948.4,2106.0,1,13.285714285714285,0.6618788819875776,1,0,1.0,5.0,14742.0,5,5,5,15.0,Champions,3.0,VIP / Champions,0.03931644944934284,Low Risk
9,2023-05-02,India,Odisha,Mobile,27,Male,Google Ads,1,2,20.0,22,2023-06-02,6611.0,2,3305.5,2023-06-08,2023-06-21,58,27.0,3305.5,3305.5,1,7.4,0.3686594202898551,1,0,9.0,2.0,6611.0,4,1,3,8.0,Recent Customers,1.0,Casual Buyers,0.14347779348023298,Low Risk
10,2023-03-16,India,Gujarat,Mobile,27,Male,Google Ads,1,4,36.25,35,2023-06-04,0.0,0,0.0,,,105,25.0,0.0,0.0,0,12.875,0.6414175724637681,1,0,-1.0,0.0,0.0,0,0,0,0.0,Non-Buyer,,Non-Buyer,0.25056755655659085,Low Risk
