campaign_id,channel,cost,start_date
1,Facebook,29937,2023-02-20
2,Instagram,22111,2023-01-24
3,Google,45195,2023-02-10
4,Email,13677,2023-04-26
5,Google,13477,2023-04-17
6,Facebook,34810,2023-05-17
7,Email,14651,2023-02-21
8,Email,15365,2023-04-23
9,Facebook,8951,2023-05-26
10,Email,10494,2023-01-15
11,Email,29788,2023-02-24
12,Email,12362,2023-04-20
13,Email,38353,2023-03-17
14,Instagram,11027,2023-05-11
15,Facebook,44458,2023-05-24
16,Instagram,48297,2023-01-26
17,Google,23923,2023-05-10
18,Email,36444,2023-02-15
19,Google,39083,2023-01-15
20,Google,27449,2023-02-02
21,Instagram,35923,2023-02-18
22,Instagram,21206,2023-04-26
23,Email,17051,2023-04-10
24,Facebook,32576,2023-04-01
25,Google,7192,2023-05-16
26,Email,31245,2023-02-28
27,Instagram,41675,2023-04-22
28,Google,33621,2023-01-11
29,Email,14158,2023-02-06
30,Facebook,25978,2023-05-20
31,Instagram,7559,2023-04-12
32,Facebook,6409,2023-04-11
33,Email,46787,2023-01-30
34,Google,43539,2023-02-23
35,Instagram,46650,2023-03-05
36,Facebook,28926,2023-05-23
37,Facebook,18336,2023-02-08
38,Instagram,9745,2023-04-12
39,Facebook,10262,2023-02-09
40,Email,33314,2023-01-03
41,Email,37360,2023-03-27
42,Facebook,17946,2023-05-24
43,Email,21122,2023-05-25
44,Google,11637,2023-04-23
45,Email,48607,2023-01-24
46,Instagram,34643,2023-03-10
47,Google,12395,2023-04-19
48,Facebook,24032,2023-04-17
49,Facebook,25335,2023-03-23
50,Facebook,33799,2023-01-03
