event_id,user_id,event_type,event_date
1,3639,signup,2023-06-27
2,1002,add_to_cart,2023-02-14
3,956,visit,2023-06-29
4,4281,add_to_cart,2023-02-27
5,3290,add_to_cart,2023-06-18
6,1521,visit,2023-05-20
7,2387,signup,2023-03-30
8,1964,visit,2023-06-02
9,6500,visit,2023-01-30
10,7710,signup,2023-04-03
11,4624,purchase,2023-03-11
12,8129,visit,2023-03-18
13,6882,signup,2023-03-03
14,2734,add_to_cart,2023-03-16
15,4686,visit,2023-02-15
16,9214,purchase,2023-06-27
17,3632,signup,2023-01-01
18,4509,add_to_cart,2023-03-07
19,7517,signup,2023-06-26
20,3231,visit,2023-06-07
21,2068,add_to_cart,2023-04-15
22,4766,purchase,2023-06-25
23,8953,signup,2023-05-16
24,6055,add_to_cart,2023-03-22
25,296,signup,2023-06-11
26,95,purchase,2023-05-26
27,4666,signup,2023-03-19
28,1163,visit,2023-05-29
29,4193,visit,2023-01-19
30,6246,signup,2023-05-04
31,288,signup,2023-01-04
32,6058,visit,2023-06-21
33,5043,visit,2023-02-19
34,1115,visit,2023-06-10
35,389,visit,2023-06-16
36,7962,signup,2023-04-11
37,9117,visit,2023-06-10
38,8315,visit,2023-03-27
39,1703,add_to_cart,2023-03-16
40,6306,signup,2023-01-11
41,9527,add_to_cart,2023-06-02
42,3852,signup,2023-06-01
43,6307,purchase,2023-02-08
44,2867,signup,2023-05-30
45,3945,visit,2023-04-23
46,8564,add_to_cart,2023-03-14
47,3769,visit,2023-06-08
48,6523,visit,2023-06-26
49,3439,signup,2023-01-01
50,8779,visit,2023-02-06
51,1407,visit,2023-01-12
52,3514,purchase,2023-03-16
53,3627,signup,2023-06-12
54,5687,add_to_cart,2023-02-05
55,2521,signup,2023-02-11
56,8913,add_to_cart,2023-04-05
57,6542,visit,2023-06-23
58,4931,add_to_cart,2023-06-02
59,6369,signup,2023-06-20
60,7440,visit,2023-05-07
61,8270,visit,2023-06-27
62,1413,visit,2023-03-18
63,2013,visit,2023-02-23
64,4212,add_to_cart,2023-04-15
65,1087,purchase,2023-04-05
66,2641,visit,2023-02-17
67,2245,visit,2023-05-22
68,7415,add_to_cart,2023-06-05
69,8880,visit,2023-03-25
70,897,visit,2023-06-06
71,102,visit,2023-02-26
72,7282,visit,2023-01-15
73,8406,add_to_cart,2023-01-02
74,4632,visit,2023-05-22
75,3729,signup,2023-02-06
76,9491,visit,2023-03-16
77,606,add_to_cart,2023-06-14
78,6865,visit,2023-04-25
79,2972,visit,2023-04-01
80,696,visit,2023-06-23
81,598,visit,2023-02-09
82,1514,signup,2023-03-15
83,2586,visit,2023-02-01
84,985,visit,2023-04-05
85,465,visit,2023-01-11
86,2403,purchase,2023-03-15
87,7677,visit,2023-01-03
88,3335,purchase,2023-04-10
89,1084,visit,2023-06-06
90,6123,add_to_cart,2023-04-02
91,7357,add_to_cart,2023-04-18
92,8292,add_to_cart,2023-04-12
93,9100,signup,2023-05-02
94,2415,purchase,2023-06-03
95,4683,visit,2023-02-19
96,4838,visit,2023-01-18
97,1283,add_to_cart,2023-02-28
98,943,add_to_cart,2023-03-21
99,2316,add_to_cart,2023-03-25
100,4880,add_to_cart,2023-01-21
101,5785,signup,2023-03-24
102,1475,signup,2023-01-22
103,938,add_to_cart,2023-05-15
104,4881,signup,2023-04-15
105,7470,signup,2023-03-03
106,9741,visit,2023-03-05
107,3041,visit,2023-01-17
108,7702,visit,2023-06-10
109,5962,signup,2023-02-25
110,3797,visit,2023-01-02
111,8285,visit,2023-06-21
112,7053,visit,2023-05-10
113,780,visit,2023-03-31
114,9198,add_to_cart,2023-01-01
115,9107,visit,2023-02-18
116,3689,purchase,2023-03-08
117,1465,add_to_cart,2023-03-15
118,7141,visit,2023-04-26
119,8813,visit,2023-06-24
120,4491,signup,2023-04-07
121,9962,visit,2023-03-30
122,7123,visit,2023-01-21
123,9865,add_to_cart,2023-03-09
124,276,add_to_cart,2023-02-25
125,9227,signup,2023-05-24
126,1506,visit,2023-05-19
127,7976,visit,2023-01-19
128,5883,add_to_cart,2023-05-03
129,8792,visit,2023-01-20
130,6133,signup,2023-01-21
131,1985,signup,2023-05-28
132,4023,visit,2023-01-15
133,9722,signup,2023-06-10
134,3614,signup,2023-04-22
135,7899,signup,2023-01-28
136,2950,visit,2023-05-10
137,9709,visit,2023-06-24
138,6720,signup,2023-06-27
139,5933,signup,2023-01-30
140,3432,add_to_cart,2023-04-03
141,1114,visit,2023-04-01
142,5165,visit,2023-01-24
143,8689,visit,2023-03-16
144,7586,add_to_cart,2023-04-15
145,3955,signup,2023-06-12
146,8539,visit,2023-06-11
147,563,purchase,2023-03-11
148,9330,visit,2023-06-11
149,1886,visit,2023-05-11
150,5859,visit,2023-03-06
151,2669,add_to_cart,2023-03-05
152,2902,add_to_cart,2023-04-12
153,5533,visit,2023-06-24
154,9311,purchase,2023-05-15
155,6170,add_to_cart,2023-05-07
156,2875,signup,2023-01-15
157,3545,purchase,2023-03-13
158,5417,visit,2023-01-21
159,8724,visit,2023-03-22
160,4116,add_to_cart,2023-03-02
161,9764,signup,2023-06-25
162,5511,purchase,2023-03-28
163,6901,visit,2023-05-22
164,1606,visit,2023-02-01
165,3519,visit,2023-04-26
166,8742,visit,2023-03-12
167,9154,purchase,2023-03-24
168,215,add_to_cart,2023-04-18
169,1223,signup,2023-02-19
170,6628,add_to_cart,2023-05-07
171,8511,add_to_cart,2023-01-15
172,1140,signup,2023-06-17
173,3843,add_to_cart,2023-01-26
174,9615,visit,2023-04-30
175,9714,visit,2023-03-28
176,2458,visit,2023-04-30
177,1422,visit,2023-01-16
178,3765,signup,2023-01-04
179,7362,signup,2023-03-25
180,6459,add_to_cart,2023-01-07
181,3349,visit,2023-04-05
182,3660,signup,2023-01-07
183,217,add_to_cart,2023-03-29
184,8423,purchase,2023-06-07
185,2646,add_to_cart,2023-03-18
186,275,purchase,2023-06-16
187,4332,purchase,2023-01-01
188,6316,signup,2023-04-11
189,9941,visit,2023-05-18
190,8247,visit,2023-06-15
191,7875,visit,2023-01-28
192,8383,signup,2023-04-02
193,9827,signup,2023-06-16
194,4980,visit,2023-06-29
195,3627,signup,2023-05-22
196,5228,add_to_cart,2023-03-26
197,6689,visit,2023-04-16
198,2809,signup,2023-06-10
199,4035,add_to_cart,2023-02-04
200,3387,visit,2023-02-12
201,1214,signup,2023-06-17
202,398,signup,2023-06-29
203,4494,signup,2023-04-21
204,4787,visit,2023-05-30
205,9590,visit,2023-03-21
206,5309,add_to_cart,2023-05-18
207,1570,signup,2023-03-09
208,9621,add_to_cart,2023-03-29
209,8600,signup,2023-06-06
210,6052,visit,2023-06-08
211,4753,add_to_cart,2023-05-16
212,8553,signup,2023-06-13
213,9684,visit,2023-01-15
214,3299,add_to_cart,2023-02-09
215,4913,visit,2023-02-03
216,7815,signup,2023-01-26
217,1125,purchase,2023-02-11
218,4148,visit,2023-06-13
219,8841,purchase,2023-06-02
220,7011,add_to_cart,2023-05-17
221,3581,purchase,2023-05-26
222,2947,signup,2023-03-01
223,2386,add_to_cart,2023-02-27
224,9409,add_to_cart,2023-02-17
225,4257,visit,2023-06-26
226,4626,add_to_cart,2023-04-03
227,988,signup,2023-05-16
228,4250,signup,2023-06-02
229,266,purchase,2023-01-02
230,7427,visit,2023-02-20
231,2174,purchase,2023-02-08
232,3498,visit,2023-03-27
233,665,add_to_cart,2023-03-06
234,7725,signup,2023-02-02
235,1698,visit,2023-05-04
236,4871,signup,2023-06-10
237,9993,visit,2023-02-21
238,4762,signup,2023-05-07
239,8880,visit,2023-05-07
240,4904,visit,2023-04-03
241,741,visit,2023-01-15
242,7090,purchase,2023-03-03
243,4376,visit,2023-05-20
244,1724,visit,2023-05-08
245,8677,visit,2023-03-14
246,1448,visit,2023-04-02
247,4826,add_to_cart,2023-06-06
248,7792,signup,2023-06-05
249,9191,visit,2023-05-20
250,7225,add_to_cart,2023-02-04
251,4874,visit,2023-02-01
252,8582,signup,2023-01-23
253,5386,signup,2023-01-24
254,9350,visit,2023-02-23
255,8555,visit,2023-06-02
256,1648,add_to_cart,2023-04-20
257,9512,signup,2023-03-16
258,2988,add_to_cart,2023-04-15
259,6857,signup,2023-03-16
260,1435,add_to_cart,2023-03-31
261,3966,visit,2023-03-03
262,3106,add_to_cart,2023-04-11
263,9581,visit,2023-05-16
264,1116,add_to_cart,2023-03-06
265,8707,signup,2023-01-21
266,13,visit,2023-02-16
267,2041,signup,2023-03-25
268,214,add_to_cart,2023-06-17
269,3751,signup,2023-01-26
270,3667,add_to_cart,2023-04-29
271,2900,visit,2023-01-03
272,5014,visit,2023-01-01
273,6379,visit,2023-04-30
274,2900,signup,2023-05-23
275,3482,signup,2023-01-20
276,7764,signup,2023-05-15
277,2699,visit,2023-04-26
278,7373,add_to_cart,2023-06-01
279,5886,visit,2023-01-10
280,3080,visit,2023-01-26
281,1013,visit,2023-06-04
282,1581,add_to_cart,2023-04-14
283,9899,purchase,2023-03-10
284,8921,signup,2023-06-06
285,790,purchase,2023-04-03
286,3314,visit,2023-01-17
287,2025,visit,2023-04-03
288,2149,visit,2023-04-08
289,6478,visit,2023-02-02
290,1827,add_to_cart,2023-02-24
291,5498,purchase,2023-03-26
292,7714,signup,2023-04-21
293,5207,signup,2023-03-15
294,8797,signup,2023-04-30
295,1163,add_to_cart,2023-03-10
296,7589,add_to_cart,2023-01-20
297,3296,add_to_cart,2023-03-03
298,4362,visit,2023-02-13
299,1624,visit,2023-06-12
300,642,add_to_cart,2023-04-15
301,7569,visit,2023-04-05
302,1881,signup,2023-02-09
303,8680,visit,2023-04-25
304,8460,visit,2023-06-26
305,6487,signup,2023-01-02
306,5820,purchase,2023-06-11
307,6674,visit,2023-05-06
308,5868,visit,2023-05-13
309,6795,add_to_cart,2023-02-28
310,3383,visit,2023-04-13
311,6703,visit,2023-05-07
312,632,visit,2023-04-15
313,4233,visit,2023-01-22
314,5253,visit,2023-02-12
315,6983,add_to_cart,2023-01-08
316,1536,signup,2023-05-04
317,5919,signup,2023-02-06
318,2889,add_to_cart,2023-03-05
319,7846,purchase,2023-06-18
320,2655,signup,2023-02-27
321,4087,visit,2023-03-11
322,217,visit,2023-05-03
323,6876,signup,2023-02-26
324,707,visit,2023-06-18
325,3782,visit,2023-05-05
326,9732,visit,2023-01-06
327,8904,add_to_cart,2023-02-16
328,8859,visit,2023-03-19
329,3206,add_to_cart,2023-05-16
330,6888,visit,2023-02-02
331,1104,purchase,2023-01-26
332,5516,signup,2023-01-15
333,2876,visit,2023-02-17
334,4138,purchase,2023-03-02
335,7468,visit,2023-06-27
336,6042,signup,2023-01-17
337,4054,signup,2023-04-18
338,7825,signup,2023-06-19
339,6580,signup,2023-02-08
340,1256,add_to_cart,2023-03-07
341,6155,visit,2023-05-18
342,7026,add_to_cart,2023-03-04
343,698,visit,2023-04-18
344,38,signup,2023-02-16
345,2291,visit,2023-05-17
346,1480,purchase,2023-03-25
347,214,add_to_cart,2023-02-16
348,193,visit,2023-06-11
349,9031,visit,2023-04-17
350,227,purchase,2023-06-24
351,9002,visit,2023-01-28
352,7656,purchase,2023-03-11
353,8567,visit,2023-05-03
354,8466,visit,2023-06-06
355,1187,purchase,2023-02-08
356,6662,add_to_cart,2023-01-17
357,1827,visit,2023-04-07
358,7444,signup,2023-03-18
359,5582,visit,2023-04-05
360,2030,signup,2023-01-01
361,3331,add_to_cart,2023-04-28
362,8647,purchase,2023-05-17
363,3903,signup,2023-01-03
364,9848,add_to_cart,2023-05-12
365,6897,add_to_cart,2023-06-13
366,7363,visit,2023-06-24
367,5440,purchase,2023-05-16
368,1255,purchase,2023-05-27
369,8459,visit,2023-06-27
370,1343,visit,2023-02-19
371,3590,signup,2023-02-14
372,554,signup,2023-03-30
373,5874,signup,2023-04-13
374,5165,signup,2023-04-06
375,4607,visit,2023-04-28
376,9533,visit,2023-03-19
377,8367,purchase,2023-03-04
378,4697,visit,2023-02-05
379,2627,visit,2023-02-01
380,37,purchase,2023-02-06
381,9801,visit,2023-05-18
382,4206,signup,2023-01-15
383,5706,signup,2023-06-08
384,9715,visit,2023-02-05
385,6479,purchase,2023-04-08
386,6902,purchase,2023-06-11
387,9933,add_to_cart,2023-02-16
388,6481,visit,2023-04-03
389,8780,signup,2023-06-01
390,5391,visit,2023-01-03
391,1515,purchase,2023-03-17
392,8779,signup,2023-03-15
393,198,add_to_cart,2023-05-31
