session_id,user_id,session_date,duration_minutes,pages_viewed
1,7359,2023-05-20,20,12
2,6719,2023-03-12,19,6
3,2825,2023-05-31,20,13
4,5204,2023-04-21,16,9
5,3549,2023-06-25,40,3
6,9245,2023-04-16,56,13
7,9611,2023-06-16,38,5
8,6615,2023-03-19,9,8
9,7889,2023-04-07,22,12
10,1176,2023-06-24,15,10
11,2083,2023-05-05,56,2
12,4922,2023-05-04,28,8
13,9151,2023-03-05,4,7
14,6859,2023-02-21,57,3
15,9975,2023-03-30,45,14
16,3294,2023-06-07,14,1
17,8892,2023-06-25,25,6
18,7591,2023-06-01,43,5
19,6548,2023-06-19,42,3
20,5718,2023-06-24,38,10
21,1624,2023-06-09,37,8
22,4544,2023-06-14,9,6
23,8846,2023-05-04,59,5
24,4237,2023-05-19,18,12
25,4353,2023-06-27,28,14
26,2551,2023-04-26,29,13
27,3675,2023-06-29,37,6
28,1293,2023-04-21,30,13
29,8072,2023-06-09,40,9
30,1554,2023-05-25,52,11
31,4770,2023-06-15,58,9
32,9274,2023-06-22,30,12
33,8475,2023-06-22,28,1
34,3730,2023-06-09,50,9
35,9273,2023-06-16,53,8
36,4978,2023-06-18,38,4
37,5824,2023-06-24,18,14
38,591,2023-06-28,31,8
39,4923,2023-05-18,33,6
40,3779,2023-04-21,46,13
41,9721,2023-06-27,5,8
42,4374,2023-06-26,18,8
43,5554,2023-06-28,56,14
44,2455,2023-06-27,59,11
45,84,2023-05-06,42,2
46,6580,2023-04-03,34,8
47,5895,2023-06-09,7,14
48,1927,2023-06-17,22,8
49,8141,2023-03-14,6,3
50,745,2023-03-23,53,5
51,8343,2023-06-22,58,3
52,2884,2023-05-17,43,8
53,2249,2023-04-27,36,2
54,8554,2023-05-10,46,1
55,1216,2023-05-18,12,4
56,4626,2023-06-25,31,4
57,4259,2023-06-14,36,10
58,2327,2023-06-19,29,11
59,1159,2023-04-05,17,12
60,7869,2023-06-28,51,14
61,945,2023-05-13,49,1
62,5114,2023-04-16,17,3
63,4851,2023-06-19,8,9
64,4804,2023-06-23,37,7
65,9602,2023-04-09,58,10
66,2938,2023-04-28,10,11
67,3759,2023-05-12,54,12
68,4555,2023-05-07,47,10
69,9230,2023-06-20,38,14
70,8808,2023-06-10,38,6
71,7298,2023-06-29,14,3
72,4,2023-06-02,35,10
73,4755,2023-05-14,20,7
74,5064,2023-04-09,57,11
75,1613,2023-06-09,8,9
76,4530,2023-03-22,55,14
77,4722,2023-03-06,2,8
78,8404,2023-05-09,46,12
79,2241,2023-03-30,15,12
80,4323,2023-06-09,6,10
81,8532,2023-06-06,16,5
82,5964,2023-05-01,15,9
83,7154,2023-05-08,53,8
84,8871,2023-05-22,12,9
85,2461,2023-05-16,29,11
86,4419,2023-05-14,17,13
87,2557,2023-05-07,23,6
88,4171,2023-01-20,10,13
89,7796,2023-05-26,54,5
90,2388,2023-05-30,38,9
91,3633,2023-06-22,44,11
92,2367,2023-03-23,22,7
93,795,2023-06-07,15,8
94,3782,2023-06-17,31,10
95,5993,2023-06-23,3,10
96,7226,2023-03-09,52,8
97,9850,2023-06-23,2,4
98,3706,2023-03-03,9,13
99,7433,2023-02-17,45,7
100,8917,2023-06-23,25,7
101,978,2023-06-23,32,14
102,9089,2023-05-28,25,9
103,76,2023-06-02,58,13
104,3603,2023-04-12,3,12
105,1658,2023-04-20,4,12
106,5006,2023-06-27,19,11
107,5850,2023-02-01,11,5
108,1872,2023-06-26,3,6
109,9724,2023-06-15,25,6
110,4870,2023-05-19,48,12
111,4209,2023-06-12,57,6
112,350,2023-06-28,35,13
113,4861,2023-06-18,59,1
