transaction_id,user_id,amount,transaction_date,payment_method
1,1181,3387,2023-05-10,Credit Card
2,4688,1854,2023-06-22,Debit Card
3,7614,4883,2023-03-15,Net Banking
4,8807,7067,2023-05-21,Net Banking
5,5265,111,2023-06-04,Debit Card
6,7966,4465,2023-05-11,Debit Card
7,7126,1604,2023-05-03,Debit Card
8,6988,5367,2023-01-05,Net Banking
9,2058,8018,2023-03-25,Debit Card
10,2000,3032,2023-03-27,UPI
11,1131,9986,2023-01-01,Debit Card
12,2015,6711,2023-05-16,Debit Card
13,9295,3388,2023-05-05,Net Banking
14,9534,3622,2023-01-19,Credit Card
15,2827,2670,2023-04-08,Net Banking
16,9421,8284,2023-05-05,UPI
17,6242,823,2023-05-26,Debit Card
18,1128,5694,2023-04-22,Net Banking
19,8801,5065,2023-01-30,Debit Card
20,5959,2503,2023-04-10,Net Banking
21,6832,3326,2023-02-02,Net Banking
22,1834,9984,2023-03-23,Debit Card
23,2093,9881,2023-05-11,Net Banking
24,9920,6680,2023-06-19,UPI
25,2691,7341,2023-06-12,Net Banking
26,7164,3915,2023-03-09,UPI
27,3794,9534,2023-06-25,Debit Card
28,4786,940,2023-06-21,UPI
29,6038,6953,2023-03-31,Net Banking
30,7654,2480,2023-05-27,UPI
31,5917,8978,2023-02-28,UPI
32,2282,2244,2023-06-04,Net Banking
33,134,1301,2023-03-29,UPI
34,2210,5705,2023-04-28,Credit Card
35,2029,5211,2023-01-29,UPI
36,9158,888,2023-06-15,Net Banking
37,5014,7796,2023-01-07,Debit Card
38,63,6119,2023-04-16,Debit Card
39,2276,1257,2023-03-31,UPI
40,8953,8447,2023-01-04,Credit Card
41,512,5794,2023-05-28,Debit Card
42,3767,7710,2023-06-05,Debit Card
43,4310,3281,2023-04-27,Debit Card
44,8436,434,2023-01-16,Credit Card
45,3268,3751,2023-01-02,Credit Card
46,1865,8150,2023-01-06,Credit Card
47,5419,1400,2023-02-01,Debit Card
48,6950,6775,2023-06-27,UPI
49,5290,5156,2023-04-24,Credit Card
50,4824,5183,2023-03-03,Debit Card
51,3648,9108,2023-06-24,Net Banking
52,3714,4847,2023-02-28,UPI
53,4313,8693,2023-04-20,UPI
54,5116,4525,2023-04-04,UPI
55,266,561,2023-03-28,Credit Card
56,7373,816,2023-06-25,Net Banking
57,3025,8720,2023-03-12,Credit Card
58,7027,5422,2023-02-13,UPI
59,1473,6637,2023-03-31,Debit Card
60,1034,723,2023-04-11,Debit Card
61,9251,2687,2023-02-02,Credit Card
62,1461,7939,2023-05-20,UPI
63,9314,163,2023-03-12,Net Banking
64,9230,1129,2023-04-13,Credit Card
65,544,540,2023-03-30,Debit Card
66,784,6580,2023-01-06,Debit Card
67,8686,4266,2023-03-04,Debit Card
68,6527,5665,2023-06-04,Debit Card
69,9635,7726,2023-03-20,Net Banking
70,6059,5160,2023-02-06,UPI
71,2044,3504,2023-06-20,Debit Card
72,618,2137,2023-04-14,Net Banking
73,192,8195,2023-04-04,UPI
74,9711,1158,2023-06-15,UPI
75,9804,6410,2023-05-11,UPI
76,5769,9162,2023-04-14,Debit Card
77,238,4457,2023-06-19,Net Banking
78,1948,1413,2023-01-15,Debit Card
79,1209,891,2023-01-07,Credit Card
80,8806,8869,2023-01-01,Debit Card
81,1058,250,2023-03-05,Net Banking
82,7428,8906,2023-03-23,Credit Card
83,618,2229,2023-03-13,Debit Card
84,3493,6464,2023-04-29,Debit Card
85,466,3397,2023-02-15,Credit Card
86,8716,898,2023-01-05,UPI
87,1945,929,2023-01-13,Net Banking
