user_id,signup_date,country,state,device,age,gender,acquisition_channel,is_registered
1,2023-04-13,India,Uttar Pradesh,Mobile,45,Male,Facebook Ads,1
2,2023-06-29,India,Karnataka,Mobile,47,Male,Referral,1
3,2023-04-03,India,Gujarat,Mobile,58,Male,Organic,1
4,2023-01-15,India,Maharashtra,Mobile,46,Female,Facebook Ads,1
5,2023-04-17,India,Maharashtra,Mobile,51,Female,Google Ads,1
6,2023-03-13,India,Telangana,Mobile,39,Female,Referral,1
7,2023-01-21,India,Karnataka,Desktop,42,Male,Organic,1
8,2023-04-13,India,Uttar Pradesh,Desktop,31,Female,Facebook Ads,1
9,2023-05-02,India,Odisha,Mobile,27,Male,Google Ads,1
10,2023-03-16,India,Gujarat,Mobile,27,Male,Google Ads,1
11,2023-03-29,India,Uttar Pradesh,Mobile,25,Male,Referral,1
12,2023-04-27,India,Delhi,Desktop,31,Female,Referral,1
13,2023-04-10,India,West Bengal,Mobile,55,Female,Facebook Ads,1
14,2023-04-14,India,Telangana,Mobile,49,Female,Google Ads,1
15,2023-06-01,India,Odisha,Mobile,49,Female,Google Ads,1
16,2023-05-11,India,Delhi,Mobile,20,Female,Referral,1
17,2023-05-30,India,Odisha,Mobile,37,Female,Organic,1
18,2023-02-22,India,Odisha,Mobile,30,Male,Referral,1
19,2023-01-02,India,Telangana,Mobile,40,Female,Google Ads,1
20,2023-03-29,India,Odisha,Mobile,36,Female,Organic,1
21,2023-06-07,India,Uttar Pradesh,Mobile,33,Male,Google Ads,1
22,2023-02-07,India,Uttar Pradesh,Mobile,53,Female,Referral,1
23,2023-05-10,India,Delhi,Mobile,52,Female,Google Ads,1
24,2023-01-21,India,Maharashtra,Desktop,24,Male,Referral,1
25,2023-06-10,India,Karnataka,Mobile,54,Female,Facebook Ads,1
26,2023-02-27,India,Gujarat,Mobile,25,Male,Organic,1
27,2023-01-22,India,Gujarat,Mobile,42,Male,Google Ads,1
28,2023-03-30,India,Tamil Nadu,Mobile,40,Male,Facebook Ads,1
29,2023-02-18,India,Telangana,Mobile,27,Female,Google Ads,1
30,2023-02-28,India,Rajasthan,Mobile,47,Male,Organic,1
31,2023-06-19,India,Rajasthan,Mobile,50,Female,Facebook Ads,1
32,2023-01-15,India,Delhi,Mobile,28,Male,Facebook Ads,1
33,2023-06-24,India,Odisha,Mobile,52,Female,Google Ads,1
34,2023-02-20,India,Odisha,Mobile,44,Male,Google Ads,1
35,2023-04-18,India,Telangana,Mobile,20,Female,Google Ads,1
36,2023-02-24,India,West Bengal,Mobile,25,Female,Google Ads,1
37,2023-03-05,India,Maharashtra,Mobile,30,Female,Facebook Ads,1
38,2023-05-11,India,Tamil Nadu,Mobile,59,Female,Facebook Ads,1
39,2023-02-20,India,Uttar Pradesh,Mobile,20,Female,Referral,1
40,2023-05-15,India,Odisha,Mobile,37,Female,Facebook Ads,1
41,2023-01-21,India,Tamil Nadu,Mobile,52,Female,Organic,1
42,2023-03-14,India,Gujarat,Desktop,30,Female,Google Ads,1
43,2023-06-16,India,West Bengal,Desktop,37,Female,Referral,1
44,2023-01-18,India,Uttar Pradesh,Mobile,41,Male,Facebook Ads,1
45,2023-05-12,India,Telangana,Mobile,26,Male,Referral,1
46,2023-03-30,India,Tamil Nadu,Mobile,47,Male,Google Ads,1
47,2023-03-01,India,Delhi,Mobile,42,Male,Facebook Ads,1
48,2023-01-14,India,Uttar Pradesh,Desktop,33,Male,Google Ads,1
49,2023-01-09,India,Telangana,Desktop,25,Female,Google Ads,1
50,2023-03-31,India,Rajasthan,Desktop,45,Male,Google Ads,1
51,2023-02-22,India,Telangana,Mobile,29,Male,Google Ads,1
52,2023-05-10,India,Telangana,Mobile,41,Male,Referral,1
53,2023-03-25,India,Uttar Pradesh,Desktop,46,Male,Google Ads,1
54,2023-04-02,India,West Bengal,Mobile,32,Female,Google Ads,1
55,2023-04-21,India,Uttar Pradesh,Desktop,35,Female,Referral,1
56,2023-06-21,India,Karnataka,Mobile,24,Male,Referral,1
57,2023-01-08,India,Maharashtra,Mobile,30,Male,Facebook Ads,1
58,2023-06-24,India,West Bengal,Mobile,36,Male,Organic,1
59,2023-02-04,India,Delhi,Mobile,22,Male,Google Ads,1
60,2023-03-22,India,West Bengal,Mobile,43,Female,Facebook Ads,1
61,2023-06-13,India,Gujarat,Mobile,19,Female,Google Ads,1
62,2023-02-19,India,Delhi,Mobile,50,Female,Facebook Ads,1
63,2023-04-14,India,Rajasthan,Mobile,54,Male,Google Ads,1
64,2023-05-12,India,Uttar Pradesh,Mobile,42,Female,Facebook Ads,1
65,2023-01-02,India,Telangana,Mobile,42,Male,Google Ads,1
66,2023-05-14,India,Uttar Pradesh,Desktop,56,Female,Organic,1
67,2023-02-23,India,Gujarat,Mobile,47,Female,Organic,1
68,2023-04-16,India,Tamil Nadu,Mobile,58,Male,Organic,1
69,2023-01-04,India,Gujarat,Desktop,21,Female,Organic,1
70,2023-02-23,India,Karnataka,Desktop,36,Female,Referral,1
71,2023-05-26,India,Telangana,Mobile,44,Male,Referral,1
72,2023-02-13,India,Telangana,Desktop,56,Female,Referral,1
73,2023-06-11,India,Odisha,Mobile,41,Female,Facebook Ads,1
74,2023-01-14,India,Tamil Nadu,Mobile,54,Male,Facebook Ads,1
75,2023-04-05,India,Odisha,Mobile,42,Female,Google Ads,1
76,2023-02-17,India,Rajasthan,Mobile,46,Male,Google Ads,1
77,2023-01-15,India,Maharashtra,Desktop,48,Male,Facebook Ads,1
78,2023-02-09,India,Maharashtra,Desktop,52,Male,Google Ads,1
79,2023-03-23,India,Uttar Pradesh,Desktop,45,Male,Referral,1
80,2023-04-21,India,Maharashtra,Desktop,55,Male,Google Ads,1
81,2023-02-22,India,Telangana,Mobile,21,Male,Google Ads,1
82,2023-01-24,India,Gujarat,Mobile,45,Male,Facebook Ads,1
83,2023-06-03,India,Tamil Nadu,Desktop,48,Male,Organic,1
84,2023-05-04,India,Uttar Pradesh,Desktop,40,Male,Google Ads,1
85,2023-02-10,India,Uttar Pradesh,Desktop,31,Male,Facebook Ads,1
86,2023-06-06,India,Tamil Nadu,Desktop,45,Male,Referral,1
87,2023-01-15,India,Telangana,Mobile,31,Male,Referral,1
88,2023-02-14,India,Rajasthan,Desktop,18,Male,Organic,1
89,2023-03-06,India,Rajasthan,Desktop,49,Female,Referral,1
90,2023-03-30,India,Uttar Pradesh,Desktop,58,Male,Google Ads,1
91,2023-03-12,India,Rajasthan,Mobile,35,Male,Organic,1
92,2023-01-09,India,Telangana,Mobile,22,Male,Facebook Ads,1
93,2023-03-29,India,Karnataka,Mobile,59,Female,Organic,1
94,2023-05-09,India,Karnataka,Mobile,32,Male,Facebook Ads,1
95,2023-05-16,India,Odisha,Mobile,59,Female,Facebook Ads,1
96,2023-03-04,India,West Bengal,Mobile,33,Male,Google Ads,1
97,2023-05-19,India,Delhi,Mobile,53,Female,Facebook Ads,1
98,2023-03-22,India,Maharashtra,Mobile,53,Female,Google Ads,1
99,2023-05-16,India,Rajasthan,Mobile,57,Female,Organic,1
100,2023-06-12,India,Karnataka,Mobile,47,Female,Organic,1
101,2023-06-12,India,Gujarat,Mobile,55,Female,Facebook Ads,1
102,2023-02-02,India,Tamil Nadu,Mobile,40,Male,Facebook Ads,1
103,2023-05-03,India,West Bengal,Mobile,28,Male,Organic,1
104,2023-01-05,India,Odisha,Mobile,42,Male,Organic,1
105,2023-02-10,India,Delhi,Mobile,19,Female,Facebook Ads,1
106,2023-01-28,India,Karnataka,Mobile,52,Female,Organic,1
107,2023-05-15,India,Odisha,Desktop,41,Female,Referral,1
108,2023-03-13,India,West Bengal,Mobile,30,Female,Facebook Ads,1
109,2023-01-12,India,Tamil Nadu,Mobile,59,Male,Google Ads,1
110,2023-06-11,India,Maharashtra,Desktop,54,Female,Google Ads,1
111,2023-02-02,India,Karnataka,Mobile,47,Male,Referral,1
112,2023-02-17,India,Tamil Nadu,Desktop,28,Female,Facebook Ads,1
113,2023-05-31,India,Delhi,Desktop,40,Female,Google Ads,1
114,2023-03-03,India,Rajasthan,Mobile,45,Female,Referral,1
115,2023-02-06,India,West Bengal,Mobile,46,Female,Google Ads,1
116,2023-04-09,India,Delhi,Mobile,32,Female,Organic,1
117,2023-06-21,India,Maharashtra,Mobile,20,Male,Facebook Ads,1
118,2023-04-14,India,Tamil Nadu,Mobile,26,Female,Referral,1
119,2023-02-04,India,Telangana,Mobile,25,Male,Referral,1
120,2023-04-11,India,Maharashtra,Desktop,50,Male,Organic,1
121,2023-06-24,India,Uttar Pradesh,Mobile,51,Female,Facebook Ads,1
122,2023-05-11,India,Karnataka,Mobile,26,Female,Facebook Ads,1
123,2023-01-01,India,Rajasthan,Mobile,34,Female,Organic,1
124,2023-01-05,India,West Bengal,Mobile,58,Female,Google Ads,1
125,2023-05-22,India,Gujarat,Mobile,18,Female,Organic,1
126,2023-04-13,India,Tamil Nadu,Mobile,57,Female,Organic,1
127,2023-01-27,India,Telangana,Mobile,22,Male,Referral,1
128,2023-05-17,India,Gujarat,Desktop,47,Male,Google Ads,1
129,2023-01-15,India,Karnataka,Mobile,28,Female,Organic,1
130,2023-03-31,India,Karnataka,Mobile,45,Female,Referral,1
131,2023-02-11,India,West Bengal,Mobile,55,Male,Google Ads,1
132,2023-05-04,India,Telangana,Mobile,34,Male,Referral,1
133,2023-06-28,India,Karnataka,Mobile,40,Male,Facebook Ads,1
134,2023-03-04,India,Gujarat,Desktop,35,Female,Organic,1
135,2023-04-06,India,Telangana,Desktop,54,Male,Referral,1
136,2023-02-21,India,Gujarat,Mobile,44,Female,Google Ads,1
137,2023-04-06,India,Maharashtra,Mobile,42,Female,Google Ads,1
138,2023-05-12,India,Delhi,Mobile,22,Male,Facebook Ads,1
139,2023-05-31,India,Telangana,Mobile,36,Male,Organic,1
140,2023-05-23,India,Odisha,Mobile,44,Male,Organic,1
141,2023-06-20,India,Delhi,Mobile,30,Female,Facebook Ads,1
142,2023-01-29,India,Delhi,Mobile,24,Female,Organic,1
143,2023-02-05,India,Telangana,Mobile,43,Male,Referral,1
144,2023-01-13,India,Rajasthan,Desktop,31,Female,Referral,1
145,2023-06-09,India,Karnataka,Desktop,44,Male,Organic,1
146,2023-03-12,India,Maharashtra,Mobile,25,Female,Google Ads,1
147,2023-03-27,India,Rajasthan,Mobile,48,Male,Referral,1
148,2023-01-28,India,Rajasthan,Desktop,52,Female,Google Ads,1
149,2023-03-07,India,Odisha,Mobile,44,Male,Organic,1
150,2023-06-19,India,Tamil Nadu,Desktop,21,Female,Organic,1
151,2023-02-14,India,Telangana,Mobile,59,Female,Google Ads,1
152,2023-03-03,India,Gujarat,Mobile,21,Female,Facebook Ads,1
153,2023-05-14,India,Karnataka,Mobile,35,Male,Facebook Ads,1
154,2023-01-28,India,Rajasthan,Desktop,40,Female,Google Ads,1
155,2023-01-28,India,Maharashtra,Mobile,49,Female,Google Ads,1
156,2023-04-18,India,Tamil Nadu,Mobile,29,Male,Referral,1
157,2023-02-13,India,Odisha,Mobile,37,Male,Google Ads,1
158,2023-03-25,India,Uttar Pradesh,Desktop,29,Female,Google Ads,1
159,2023-01-30,India,Karnataka,Desktop,25,Female,Google Ads,1
160,2023-03-16,India,Uttar Pradesh,Desktop,39,Male,Facebook Ads,1
161,2023-05-08,India,Delhi,Desktop,44,Female,Facebook Ads,1
162,2023-04-02,India,Rajasthan,Mobile,58,Female,Facebook Ads,1
163,2023-05-09,India,West Bengal,Mobile,58,Male,Google Ads,1
164,2023-05-01,India,Karnataka,Mobile,34,Male,Facebook Ads,1
165,2023-01-27,India,Gujarat,Mobile,49,Male,Facebook Ads,1
166,2023-05-01,India,Tamil Nadu,Desktop,50,Female,Referral,1
167,2023-04-26,India,Maharashtra,Desktop,48,Female,Facebook Ads,1
168,2023-01-03,India,Karnataka,Mobile,23,Male,Facebook Ads,1
169,2023-04-13,India,Gujarat,Mobile,56,Male,Referral,1
170,2023-06-04,India,Telangana,Desktop,26,Female,Organic,1
171,2023-05-17,India,Uttar Pradesh,Mobile,59,Male,Facebook Ads,1
